source,date,assertionType,evidenceType,exactText,prefix,suffix,modality,statementType,drug1Lab,drug1Role,drug1Type,drug1rxc,dose1,drug2Lab,drug2Role,drug2Type,drug2rxc,dose2,objectRegimens,objectFormulation,objectDuration,preciptRegimens,preciptFormulation,preciptDuration,numOfParticipants,auc,aucType,aucDirection,cl,clType,clDirection,cmax,cmaxType,cmaxDirection,t12,t12Type,t12Direction
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:38:24 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide is an inhibitor of CYP2C8 in vivo. In patients taking AUBAGIO, exposure of drugs metabolized by CYP2C8 (e.g., paclitaxel, pioglitazone, repaglinide, rosiglitazone) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) metabolized by CYP2C8 as required [see Clinical Pharmacology (12.3)].",AUBAGIO on CYP2C8 substrates   ,,ncit:positive,ncit:Qualitative,rosiglitazone,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/84108,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:38:24 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide is an inhibitor of CYP2C8 in vivo. In patients taking AUBAGIO, exposure of drugs metabolized by CYP2C8 (e.g., paclitaxel, pioglitazone, repaglinide, rosiglitazone) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) metabolized by CYP2C8 as required [see Clinical Pharmacology (12.3)].",AUBAGIO on CYP2C8 substrates   ,,ncit:positive,ncit:Qualitative,paclitaxel,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/56946,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:38:24 -0400,drug-drug-interaction,evidence-supports,AUBAGIO may increase the systemic exposures of ethinylestradiol and levonorgestrel. Consideration should be given to the type or dose of contraceptives used in combination with AUBAGIO [see Clinical Pharmacology (12.3)].,AUBAGIO on oral contraceptives   ,,ncit:positive,ncit:Qualitative,AUBAGIO,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,levonorgestrel,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/6373,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:38:24 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide is an inhibitor of CYP2C8 in vivo. In patients taking AUBAGIO, exposure of drugs metabolized by CYP2C8 (e.g., paclitaxel, pioglitazone, repaglinide, rosiglitazone) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) metabolized by CYP2C8 as required [see Clinical Pharmacology (12.3)].",AUBAGIO on CYP2C8 substrates   ,,ncit:positive,ncit:Qualitative,pioglitazone,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:43:54 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide may be a weak inducer of CYP1A2 in vivo. In patients taking AUBAGIO, exposure of drugs metabolized by CYP1A2 (e.g., alosetron, duloxetine, theophylline, tizanidine) may be reduced. Monitor these patients and adjust the dose of the concomitant drug(s) metabolized by CYP1A2 as required [see Clinical Pharmacology (12.3)].",AUBAGIO on CYP1A2 substrates   ,,ncit:positive,ncit:Qualitative,theophylline,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/10438,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:43:54 -0400,drug-drug-interaction,evidence-supports,AUBAGIO may increase the systemic exposures of ethinylestradiol and levonorgestrel. Consideration should be given to the type or dose of contraceptives used in combination with AUBAGIO [see Clinical Pharmacology (12.3)].,AUBAGIO on oral contraceptives   ,,ncit:positive,ncit:Qualitative,ethinylestradiol,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,AUBAGIO,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:43:54 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide may be a weak inducer of CYP1A2 in vivo. In patients taking AUBAGIO, exposure of drugs metabolized by CYP1A2 (e.g., alosetron, duloxetine, theophylline, tizanidine) may be reduced. Monitor these patients and adjust the dose of the concomitant drug(s) metabolized by CYP1A2 as required [see Clinical Pharmacology (12.3)]",AUBAGIO on CYP1A2 substrates   ,,ncit:positive,ncit:Qualitative,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,tizanidine,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/57258,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:43:54 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide may be a weak inducer of CYP1A2 in vivo. In patients taking AUBAGIO, exposure of drugs metabolized by CYP1A2 (e.g., alosetron, duloxetine, theophylline, tizanidine) may be reduced. Monitor these patients and adjust the dose of the concomitant drug(s) metabolized by CYP1A2 as required [see Clinical Pharmacology (12.3)].",AUBAGIO on CYP1A2 substrates   ,,ncit:positive,ncit:Qualitative,alosetron,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/85248,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:43:54 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide may be a weak inducer of CYP1A2 in vivo. In patients taking AUBAGIO, exposure of drugs metabolized by CYP1A2 (e.g., alosetron, duloxetine, theophylline, tizanidine) may be reduced. Monitor these patients and adjust the dose of the concomitant drug(s) metabolized by CYP1A2 as required [see Clinical Pharmacology (12.3)].",AUBAGIO on CYP1A2 substrates   ,,ncit:positive,ncit:Qualitative,duloxetine,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:48:50 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].",on organic anion transporter 3 (OAT3) substrates   ,,ncit:positive,ncit:Qualitative,zidovudine,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/11413,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:48:50 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].",on organic anion transporter 3 (OAT3) substrates   ,,ncit:positive,ncit:Qualitative,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,ciprofloxacin,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:48:50 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].",on organic anion transporter 3 (OAT3) substrates   ,,ncit:positive,ncit:Qualitative,methotrexate,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/6851,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:48:50 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].",on organic anion transporter 3 (OAT3) substrates   ,,ncit:positive,ncit:Qualitative,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,cefaclor,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:48:50 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].",on organic anion transporter 3 (OAT3) substrates   ,,ncit:positive,ncit:Qualitative,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,cimetidine,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/2541,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:48:50 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].",on organic anion transporter 3 (OAT3) substrates   ,,ncit:positive,ncit:Qualitative,penicillin G,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html,2015-08-20 11:48:50 -0400,drug-drug-interaction,evidence-supports,"Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].",on organic anion transporter 3 (OAT3) substrates   ,,ncit:positive,ncit:Qualitative,furosemide,dikbD2R:object-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/4603,,Teriflunomide,dikbD2R:precipitant-drug-of-interaction,dikbD2R:active-ingredient,http://purl.bioontology.org/ontology/RXNORM/,,,,,,,,,,,,,,,,,,,,
