"source","annot","assertionType","evidenceType","createdOn","exactText","modality","statementType","drug1Lab","drug1Type","drug1Role","dose1","drug2Lab","drug2Type","drug2Role","dose2","numOfParticipants","auc"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:D8F9EC0A-92FE-4D04-83D2-B6BC458830E1","drug-drug-interaction","evidence-supports","2015-06-18 15:56:19 -0400","7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX.","ncit:positive","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"iron salts","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:D340B61F-D0A0-4F8D-A948-DBB014DBAAC5","drug-drug-interaction","evidence-supports","2015-06-19 12:01:02 -0400","Concomitant Use with Clopidogrel \nResults from a crossover study in healthy subjects have shown a pharmacokinetic interaction between clopidogrel (300 mg loading dose/75 mg daily maintenance dose) and esomeprazole (40 mg p.o. once daily) when co-administered for 30 days. Exposure to the active metabolite of clopidogrel was reduced by 35% to 40% over this time period. Pharmacodynamic parameters were also measured and demonstrated that the change in inhibition of platelet aggregation was related to the change in the exposure to clopidogrel active metabolite","ncit:positive","ncit:Qualitative","esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"Clopidogrel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:D0684FBC-AA59-4E77-8084-24E821D53ACD","increase-auc","evidence-supports","2015-06-26 14:32:35 -0400","Concomitant Use with Clopidogrel: Clopidogrel is metabolized to its active metabolite in part by CYP2C19. A study of healthy subjects, including CYP2C19 extensive and intermediate metabolizers receiving once daily administration of clopidogrel 75 mg concomitantly with placebo or with ACIPHEX 20 mg (n=36), for 7 days was conducted. The mean AUC of the active metabolite of clopidogrel was reduced by approximately 12% (mean AUC ratio was 88%, with 90% CI of 81.7 to 95.5%) when ACIPHEX was coadministered compared to administration of clopidogrel with placebo.","ncit:positive","ncit:quantitative","Clopidogrel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","0.075","ACIPHEX","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction","0.02","Unk","-12%"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:CDE2F1A4-BC4C-4325-A9D0-F4A22851876B","drug-drug-interaction","evidence-supports","2015-06-18 15:51:49 -0400","7.1 Drugs Metabolized by CYP450\nRabeprazole is metabolized by the cytochrome P450 (CYP450) drug metabolizing enzyme system. Studies in healthy subjects have shown that rabeprazole does not have clinically significant interactions with other drugs metabolized by the CYP450 system, such as warfarin and theophylline given as single oral doses, diazepam as a single intravenous dose, and phenytoin given as a single intravenous dose (with supplemental oral dosing). Steady state interactions of rabeprazole and other drugs metabolized by this enzyme system have not been studied in patients.","ncit:negative","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"theophylline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"	http://dbmi-icode-01.dbmi.pitt.edu/DDI-labels/d89017aa-b8c3-4fd2-8e68-44e2cfd6f290.html","urn:domeoclient:uuid:C83167C4-C89B-48D3-B42A-57F073AF5BCA","drug-drug-interaction","evidence-supports","2015-06-24 14:58:34 -0400","Although there are no data on pharmacokinetic drug interactions between ondansetron and tramadol, data from two small studies indicate that concomitant use of ondansetron may result in reduced analgesic activity of tramadol. Patients on concomitant ondansetron self administered tramadol more frequently in these studies, leading to an increased cumulative dose in patient controlled administration (PCA) of tramadol.","ncit:positive","ncit:Qualitative","tramadol","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"ondansetron","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:C7732FF4-4B1E-4EED-82DB-ECD7D976EF7A","drug-drug-interaction","evidence-supports","2015-06-18 15:55:53 -0400","7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX.","ncit:positive","ncit:Qualitative","mycophenolate mofetil","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:C3D19AA2-CA54-465B-9900-48FAB77D377A","drug-drug-interaction","evidence-supports","2015-06-19 10:57:51 -0400","Clopidogrel \nClopidogrel is metabolized to its active metabolite in part by CYP2C19. Concomitant use of esomeprazole 40 mg results in reduced plasma concentrations of the active metabolite of clopidogrel and a reduction in platelet inhibition. Avoid concomitant administration of esomeprazole sodium with clopidogrel. When using esomeprazole sodium, consider use of alternative anti-platelet","ncit:positive","ncit:Qualitative","clopidogrel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:C3C51332-1F4B-428E-8EBA-57EC2E79E7B7","increase-auc","evidence-supports","2015-06-18 15:54:14 -0400","7.3 Cyclosporine\nIn vitro incubations employing human liver microsomes indicated that rabeprazole inhibited cyclosporine metabolism with an IC50 of 62 micromolar, a concentration that is over 50 times higher than the Cmax in healthy volunteers following 14 days of dosing with 20 mg of rabeprazole. This degree of inhibition is similar to that by omeprazole at equivalent concentrations.","ncit:positive","ncit:quantitative","cyclosporine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","Unk","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","0.02","Unk","Unk"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:BD03B2D0-4DE0-4E44-9EDC-2E2F30367528","drug-drug-interaction","evidence-supports","2015-06-18 16:03:40 -0400","7.6 Combined Administration with Clarithromycin\nCombined administration consisting of rabeprazole, amoxicillin, and clarithromycin resulted in increases in plasma concentrations of rabeprazole and 14-hydroxyclarithromycin [see Clinical Pharmacology (12.3)].","ncit:positive","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"clarithromycin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:BA89B1CB-1FE1-4065-A319-517551CE67F8","drug-drug-interaction","evidence-supports","2015-06-19 11:07:23 -0400","Coadministration of oral contraceptives, diazepam, phenytoin, or quinidine did not seem to change the pharmacokinetic profile of esomeprazole","ncit:negative","ncit:Qualitative","esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"quinidine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:BA7CEFC5-C16D-45AB-90AE-2F8C30FC9D3B","drug-drug-interaction","evidence-supports","2015-06-18 15:53:26 -0400","7.2 Warfarin\nThere have been reports of increased INR and prothrombin time in patients receiving proton pump inhibitors, including rabeprazole, and warfarin concomitantly. Increases in INR and prothrombin time may lead to abnormal bleeding and even death [see Warnings and Precautions (5.2)].","ncit:positive","ncit:Qualitative","warfarin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:B55F4B0E-9FE1-4AD3-90C2-B9641F3D979E","drug-drug-interaction","evidence-supports","2015-06-19 10:54:04 -0400","In vitro and in vivo studies have shown that esomeprazole is not likely to inhibit CYPs 1A2, 2A6, 2C9, 2D6, 2E1 and 3A4. No clinically relevant interactions with drugs metabolized by these CYP enzymes would be expected. Drug interaction studies have shown that esomeprazole does not have any clinically significant interactions with phenytoin, warfarin, quinidine, clarithromycin or amoxicillin. Postmarketing reports of changes in prothrombin measures have been received among patients on concomitant warfarin and esomeprazole therapy. Increases in INR and prothrombin time may lead to abnormal bleeding and even death. Patients treated with proton pump inhibitors and warfarin concomitantly may need to be monitored for increases in INR and prothrombin time","ncit:negative","ncit:Qualitative","quinidine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:ADABFCE1-7DA7-4F72-85A4-6FAB377530D4","drug-drug-interaction","evidence-supports","2015-06-19 11:06:23 -0400","Coadministration of oral contraceptives, diazepam, phenytoin, or quinidine did not seem to change the pharmacokinetic profile of esomeprazole","ncit:negative","ncit:Qualitative","esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"diazepam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:AB6DBC9C-8744-4E60-91FA-B7E89E17B3D8","drug-drug-interaction","evidence-supports","2015-06-26 14:47:06 -0400","Concomitant use of atazanavir and proton pump inhibitors is not recommended. Coadministration of atazanavir with proton pump inhibitors is expected to substantially decrease atazanavir plasma concentrations and thereby reduce its therapeutic effect.","ncit:positive","ncit:Qualitative","proton pump inhibitors","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-group","dikbD2R:precipitant-drug-of-interaction",,"atazanavir","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:A7B76179-9CF7-4A07-A0D3-E83B14BC7676","drug-drug-interaction","evidence-supports","2015-06-18 16:05:14 -0400","7.8 Clopidogrel\nConcomitant administration of rabeprazole and clopidogrel in healthy subjects had no clinically meaningful effect on exposure to the active metabolite of clopidogrel [see Clinical Pharmacology (12.3)]. No dose adjustment of clopidogrel is necessary when administered with an approved dose of ACIPHEX.","ncit:negative","ncit:Qualitative","clopidogrel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"	http://dbmi-icode-01.dbmi.pitt.edu/DDI-labels/d89017aa-b8c3-4fd2-8e68-44e2cfd6f290.html","urn:domeoclient:uuid:A638709D-ADC4-4F10-9766-A87EB2D9C172","drug-drug-interaction","evidence-supports","2015-06-24 14:57:44 -0400","In patients treated with potent inducers of CYP3A4 (i.e., phenytoin, carbamazepine, and rifampin), the clearance of ondansetron was significantly increased and ondansetron blood concentrations were decreased. However, on the basis of available data, no dosage adjustment for ondansetron is recommended for patients on these drugs","ncit:positive","ncit:Qualitative","carbamazepine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"ondansetron","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:9A93244B-B29F-4731-81CE-6A5BB7531ED2","drug-drug-interaction","evidence-supports","2015-06-18 16:03:26 -0400","7.6 Combined Administration with Clarithromycin\nCombined administration consisting of rabeprazole, amoxicillin, and clarithromycin resulted in increases in plasma concentrations of rabeprazole and 14-hydroxyclarithromycin [see Clinical Pharmacology (12.3)].","ncit:positive","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"amoxicillin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:979A2048-B848-4C06-B910-9ED52FDE4CEA","drug-drug-interaction","evidence-supports","2015-06-18 16:01:56 -0400","Co-administration of PPIs in healthy subjects and in transplant patients receiving MMF has been reported to reduce the exposure to the active metabolite, mycophenolic acid (MPA), possibly due to a decrease in MMF solubility at an increased gastric pH. The clinical relevance of reduced MPA exposure on organ rejection has not been established in transplant patients receiving PPIs and MMF. Use ACIPHEX with caution in transplant patients receiving MMF.","ncit:positive","ncit:Qualitative","MMF","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"ACIPHEX","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:89E147C9-6A2A-417F-BDAC-0639C2DBEDB7","drug-drug-interaction","evidence-supports","2015-06-19 11:06:02 -0400"," Coadministration of oral contraceptives, diazepam, phenytoin, or quinidine did not seem to change the pharmacokinetic profile of esomeprazole.","ncit:negative","ncit:Qualitative","oral contraceptives","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-group","dikbD2R:precipitant-drug-of-interaction",,"esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
